SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban
2126,4,1,1969,215355.28361820136,True,False,False
2459,3,2,1980,195014.22162584803,True,False,False
1860,2,1,1970,306891.0120763329,False,True,False
2294,2,1,1996,206786.78715332696,False,False,True
2130,5,2,2001,272436.239065061,False,True,False
2095,2,3,2020,198208.80390657103,False,True,False
2724,2,1,1993,343429.3191099182,False,True,False
2044,4,3,1957,184992.321268412,True,False,False
2638,4,3,1959,377998.58815204125,False,False,True
1121,5,2,2004,95961.92601406392,False,False,True
1466,5,3,1951,191113.7686788604,False,True,False
2238,3,3,1987,253358.64500167352,False,True,False
1330,2,2,1992,132172.3926169813,False,True,False
2482,4,3,1989,231157.02767588635,False,True,False
1087,4,1,1976,118393.82316264397,False,False,True
2396,2,2,1993,267377.3996858498,False,True,False
2123,5,2,1956,190773.14856300573,True,False,False
1871,4,2,1977,172989.80490101498,False,True,False
2687,5,1,1979,239222.6677969504,False,False,True
1130,4,3,1962,143050.20178240183,True,False,False
2685,4,3,1999,405523.82831733953,False,False,True
2332,3,3,1978,263954.1540627713,True,False,False
1769,4,1,1963,148310.62016790514,False,True,False
1343,2,3,2013,151733.92248999208,True,False,False
2515,2,3,2013,307961.1073823952,False,False,True
2437,2,1,2004,276162.86180465267,True,False,False
1805,5,1,2002,243985.2054715822,True,False,False
1385,4,3,1996,88030.54185271678,True,False,False
2215,5,1,1952,282908.98169371625,False,False,True
1955,3,1,2014,240976.55176671065,True,False,False
1276,4,1,1965,104747.33458904953,True,False,False
2184,2,2,1959,347207.38956128363,False,True,False
1459,3,2,2006,77493.9314389322,True,False,False
2337,3,3,2008,331851.0816694101,False,True,False
1021,4,3,2013,110408.67080143408,True,False,False
1252,2,1,1993,127932.75677961828,False,False,True
1747,5,3,1982,228683.2269961876,True,False,False
1856,4,2,1959,124711.70785494654,True,False,False
2584,2,3,2001,415850.77083678055,False,True,False
1474,3,3,1959,184819.96119001516,False,False,True
2082,4,2,1966,164855.98777549056,False,True,False
1510,3,2,2002,156928.01471681413,False,True,False
2705,2,1,1971,282457.8613741379,False,False,True
2499,5,1,2021,287591.6728221959,False,False,True
1699,5,1,1960,156313.5941951282,True,False,False
1975,3,3,2016,279764.3710402287,False,True,False
2806,3,3,1962,366494.48060208897,False,True,False
1189,3,3,2007,244539.2816890332,False,False,True
1957,4,2,1994,239299.9944944986,True,False,False
1686,2,3,1994,249148.34468610145,False,False,True
1957,3,2,1992,304197.5798399542,True,False,False
1562,3,3,2013,89378.55062087673,True,False,False
2899,3,3,1988,427295.4046033164,True,False,False
2590,5,2,1957,328501.8015463275,False,True,False
2267,3,2,1989,215867.4189845816,False,False,True
1831,2,2,2000,190058.8928999779,True,False,False
2528,5,1,1969,259751.15444635935,False,False,True
2154,2,1,2015,166810.3886512713,True,False,False
2508,5,3,2007,352932.1624639027,False,True,False
2842,5,3,2014,422042.91851435706,False,False,True
1646,4,3,1994,91423.61964633202,False,True,False
1020,5,1,1983,220053.8603574218,True,False,False
1840,5,3,1961,216148.20845399628,False,True,False
1166,2,2,1972,161587.15372788318,False,True,False
2297,2,2,2017,194967.9094711132,False,False,True
1387,3,1,2002,152828.720291152,True,False,False
1600,4,2,2002,256725.9809436184,True,False,False
1315,5,2,1989,98039.30310069738,False,True,False
1013,4,3,2002,164858.18694892063,False,False,True
1241,3,2,1985,199373.18209909197,False,False,True
1776,4,2,2014,181245.4467436535,False,False,True
2369,5,1,1963,209700.7184829428,False,True,False
1564,2,2,1983,163053.3920501942,True,False,False
1897,4,2,1975,304004.68986597785,True,False,False
2363,5,3,2004,308830.9396512381,False,False,True
1091,3,3,2012,194294.00184175,False,False,True
2390,5,3,2019,172777.3198326151,False,False,True
1955,4,1,1995,197656.07026552537,False,True,False
2478,5,3,1986,273365.49912049377,False,False,True
2451,5,2,1972,216047.21814963987,True,False,False
1508,4,1,1965,149586.15312931265,False,False,True
1775,4,2,1981,214171.08224172727,False,True,False
2966,3,2,1956,277419.0001600792,True,False,False
1034,5,3,1993,117295.37520060757,True,False,False
1205,2,1,1996,180760.867453112,False,False,True
2104,4,1,1954,202715.1601476104,False,True,False
2955,5,3,2012,378403.5710107572,True,False,False
2585,2,1,1961,257776.0924243205,False,True,False
2895,2,2,2021,266046.87792908505,False,True,False
2411,5,1,1958,337645.67623531295,True,False,False
2025,5,2,1993,240145.9702539115,True,False,False
2021,5,1,1971,92641.62211021264,False,True,False
2413,2,1,1995,152037.88283583574,False,False,True
1565,5,3,1957,149848.61640852437,True,False,False
2129,4,3,2005,220384.43445019663,False,False,True
2795,2,1,1977,305658.56385268376,True,False,False
2845,4,2,1996,318297.25657762005,False,False,True
2500,4,3,1984,230749.27633657065,True,False,False
1702,5,3,1970,201925.84088885225,False,False,True
1401,4,3,1982,149576.68114338422,False,True,False
1729,5,1,2019,171877.06629783398,True,False,False
2579,2,2,1997,245276.73391788083,False,False,True
1161,4,2,2003,288571.1271841178,False,True,False
1201,5,1,1951,87804.5603712397,False,False,True
2981,3,2,1982,267127.0106286388,True,False,False
1995,5,3,1965,221217.76933158597,False,True,False
1269,3,2,1999,218784.63298580731,False,True,False
2886,5,3,1969,315607.02376495936,True,False,False
1815,3,3,2016,217967.92847377845,False,False,True
2294,4,1,1994,353343.63401135267,True,False,False
1455,3,3,1984,187002.96390785457,False,False,True
2485,4,2,1978,222855.0832963985,True,False,False
2750,4,2,1994,366548.8223262025,True,False,False
2275,5,2,1964,259473.2793370484,True,False,False
2016,4,2,1952,212440.4223945249,False,False,True
2725,2,2,2018,237066.6856356926,False,False,True
1295,3,3,1983,158357.6480582802,False,False,True
2748,5,1,2020,255619.99775314287,False,True,False
1719,4,1,1953,190659.43496867083,False,True,False
2772,3,2,1968,284985.43569363654,False,False,True
1337,3,3,1970,214741.228522745,False,False,True
1878,2,1,1964,128693.02879404814,False,True,False
2076,3,2,1966,184051.98271688656,True,False,False
1791,5,3,2003,242865.26019000952,True,False,False
2945,5,1,1986,295356.77549321775,False,False,True
1216,4,3,2003,107868.93208831896,True,False,False
1763,4,2,1971,207380.13609180792,False,False,True
